timestamp,case_id,action,details,user
2026-01-08 18:43:17.718890,CASE_1,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.727661,CASE_2,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.737973,CASE_3,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.746076,CASE_4,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.753411,CASE_5,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.759991,CASE_6,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.767235,CASE_7,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.774313,CASE_9,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.781878,CASE_10,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.788630,CASE_11,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.795717,CASE_12,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.802860,CASE_13,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.810960,CASE_17,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.819884,CASE_19,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:17.827475,CASE_20,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.913429,CASE_1,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.928948,CASE_2,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.935586,CASE_3,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.942151,CASE_4,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.950422,CASE_5,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.958993,CASE_6,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.965682,CASE_7,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.973287,CASE_9,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.983378,CASE_10,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.990217,CASE_11,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:21.996427,CASE_12,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:22.005018,CASE_13,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:22.011298,CASE_17,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:22.019995,CASE_19,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:43:22.027617,CASE_20,NUDGE_DCA,Auto reminder sent,
2026-01-08 18:48:44.019548,CASE_22,Enterprise Added,,FedEx Admin
2026-01-08 18:50:53.137011,CASE_22,Assigned to DCA Agent 1,,FedEx Admin
2026-01-08 19:08:53.533010,CASE_23,Enterprise Added,,FedEx Admin
2026-01-08 19:12:52.021552,CASE_24,Enterprise Added,,FedEx Admin
2026-01-08 20:20:22.526946,CASE_25,Case Created,,FedEx Admin
2026-01-09 00:23:58.177083,CASE_76,Assigned to UNASSIGNED,,FedEx Admin
2026-01-09 00:24:05.263618,CASE_76,Assigned to DCA Agent 2,,FedEx Admin
2026-01-09 00:24:50.518663,CASE_76,Status Updated to CLOSED,"THE PARTY HAVE ACCEPTED THE DEAL
",DCA Agent
